review,star
"촬영 장소? 스케일? 다른 거 다 필요 없다. 최고의 배우들이 자그마한 식탁 위에서 최상의 요리를 만들어냈다. 어떠한 양념, 조미료도 필요하지 않았다.  ",10
저게우리였으면  아무한테도연락안와서 밥만먹고끝났을듯 ㅜ ㅜ  ,10
관람객사람의 본심은 월식과 같아서 언젠가 드러나는 법  ,10
다른 의미로 공포 영화.  ,8
올해  최고의 블랙코미디. 유해진의 연기는 믿고 봅니다.  ,10
57세 키티는 최고!! 간만에 배아프게 웃으며 봤습니다 ^^  ,10
관람객간만에 극장에서 다 같이 웃는 경험 한거 같아요 ㅋㅋㅋㅋ 웃음 포인트도 많고 소름돋는 포인트도 있어서 재밌었어요 ㅋㅋㅋ 핸드폰이 누구나 쓰는 물건이라서 더 공감가는 것 같습니당 추천해요  ,10
서로를 잘 모르기에 함께 살 수 있는 우리들  ,10
윤경호라는 배우의 대발견.. 큰 배우들사에서도 전혀 꿀리는거없이 존재감 제대로 사네  ,10
요즘 망해가는 한국영화들중에 젤만족스러웠다 막장같은 스토리임에도 깔끔한연출과 배우들의 미친 연기력땜에 쫄리면서도 계속웃겨서쉴틈을 안줌 ㅋㅋㅋ  ,10
고오급 드립의 향연 속에서의 배우들의 편안한 연기에 매료되어 빵 터지기도 했다가 간 쫄리기도 했다가 관중을 들었다 놨다 아주 미친 영화  ,10
"명배우들 대사 핑퐁이 그렇게 신나고 재밌는 줄 몰랐다.역시 프로들은 다른가보다, 마치 올림픽 탁구 경기를 보는 느낌이였다.  ",10
음향감독님 칭찬은 없네요ㅠㅠ 이서진 벨소리 울릴때마다 심장 쫄렸는데  ,10
제작비 수십억씩 때려박은 영화들 뺨때리네. 혼자 기대없이 보러갔다가 시간 아깝지않게 봤습니다.  ,10
"관람객유해진, 염정아 연기 대박 입니다 액션 공포물도 아닌데 이렇게 긴장되면서 웃기면서 몰입되다니 대박.  ",10
꿀잼 허니잼 !!조진웅씨랑 결혼하고싶은생각이 드는영화 ㅠ 강추  ,10
관람객유해진은 진또배기 배우다 ㅋㅋ진짜 개재밋음ㅋㅋ  ,10
35라고 생각했지 57은 정말 생각도 못 했다.  ,10
"게임을 한 후, 하기전 어떤것이 최선의 선택인지 아직도 모르겠다  ",10
관람객아침부터 엄청 웃었음ㅋㅋ 올해 본 영화중에 젤 재밌고~~ 이야기가 깊어요~~~ 이게 영화지!!!  ,10
오랜만에 만나는 웰메이드 영화.  ,10
별 10개줘도 아깝지 않음 이서진 오랜만에 영화 굳이엇음  ,10
염정아 연기 진짜 미쳤다ㅠㅠ...개인적으로 연기 정말 잘한다고 생각하는 배우 연기 스펙트럼 정말 넓다  ,10
"관람객방금 보고 나와 씁니다. 시나리오 좋고 지루할 틈이 없이 2시간동안 빵빵터지네요^^ 관객들이 다같이 박수치고 웃느라 난리~ㅋ영화보기전에 줄거리 검색하지 마시고, 친구보다는 남편과 같이 보시라고 추천합니다.올해 가장 기억에 남는 영화였습니다.  ",10
누구든 남들에겐 보이기 싫은 비밀이 있고 그게 드러날까 조마조마하는 마음. 영화 보는 내내 나도 불편한 마음을 느꼈다. 극화시킨 느낌은 있지만 볼만했고 인간관계나 사람의 본심에 대해 생각하게 하는 영화.  ,10
"'재미있으면 공감,재미없으면 비공감'이런거 안따지고   강추!  유해진너무웃김ㅋㅋㅋㅋ  ",8
갑자기  아이폰 사파리 검색기록을 지워야겠다는 생각이 문득 들었다.  ,10
관람객재밌는데 끝나고 나면 기분나쁜 영화..  ,8
관람객무서운데 웃김ㅋㅋㅋㅋ 이 한마디로 다 정리됨ㅋㅋㅋㅋ 스릴러 뺨치는 코미디영화임ㅋㅋㅋ  ,10
관람객보고 뜨끔하는사람 많을거같아요.  ,7
오랜만에 재미있는 영화였습니다.  ,10
관람객예고편만으로는 진짜 이렇게 웃길줄 몰랐는데 ㅋㅋㅋㅋ진짜 기대한만큼 만족했어요!! 극장에서도 사람들 다 같이 웃고ㅋㅋ 조마조마하면서도 유쾌했던 영화!!  ,10
인간관계의 모든것...진짜 너무 적나라하다ㅜ  ,10
와~~ 인간관계대한 묘사를 너무 잘 하시네요.  영화속 영배역할 대사가 공감백배 연기도 잘하시고 멋진 배우이시고 강력 추천입니다!!!  ,10
저게 현실이라면 결혼하면 안되겠다  ,2
여자친구랑 보지마세요  ,2
내 웃음 포인트가 남들과 다른가? 코미디 영화를 보고 싶었는데 오히려 이 영화 보고 나니 기분이 다운됨. 중간 중간 웃기는부분은 있지만 전체적으로 심각한 상황이라 웃음이 안 나옴.  ,4
사람들은 세가지삶을 가지고있다  ,10
개그적인 요소때매 웃긴 부분은 많음. 하지만 내용이 불쾌해요. 먼저 평점남기신 분 말마따나 남자들의 더러운 뒷얘기를 듣는기분.  ,5
"웃긴장면이 있는거지, 웃기거나 재밌는 영화는 아닌듯  ",1
관람객겁나 웃긴데 보고 나서 진지하게 고민해보면 호러가 따로 없다 ㅋㅋㅋㅋ 배우들 연기 다 쩔고 나는 염정아하고 윤경호가 특히 좋았음! N차각이다  ,10
오션스 일레븐 같은 라인업으로 느껴지는 영화! 인물들의 주고 가는 드립과 찰진 리액션들이 볼만해서 시간가는줄 몰랐어요  ,10
2시간 동안 가정이 파탄나는 꼴만 봤음 참 찝찝하고 불편하고 기분 안좋았던 영화  ,1
기발하고 신나게 웃을 수 있고 매우 재밌다!  ,10
진짜 기대 이상.. 혼영하기에 딱 좋은영화입니다!!!!배우들 연기력도 진짜 몰입도 장난아님!!강추합니다!!!  ,10
관람객방금 보고 나왔어용! 핸드폰은 누구나 다 쓰는거다보니 더 공감되고 재밌었던거같아요ㅋㅋㅋ 배우들 연기만으로도 진짜 충분히 안아까웠던 영화에요~~  ,10
남자들의 우정이란게 이런건지 수준낮은 영화  ,1
재밌게보았습니다ㅋㅋ  ,10
"판타지는 잠시 접어두고 인간의 이면과 본성을 위트있게 드러낸 영화. 관계에 대해 생각할거리를 많이 던져줍니다. 명대사도 아주 많아요. 올해 처음으로 만족스러웠던 한국영화, 한번 더 보러가려고요. 배우들의 연기력이야 뭐 말할것도 없이 몰입도도 짱  ",10
관람객방금 보고 나왔는데  모닝 폭소 오지게 하다 나왓음ㅋㅋ간만에  완벽 그 자체 코미디 ㅋㅋㅋ  ,9
동성애를 실컷 웃음코드로 쓰고 마지막엔 억지훈계식 결말. 그게 두번 죽이는거다. 당연하단듯 불륜을 숨겨주는 남자들의 의리 또한 웃음코드여서 불쾌했다.  ,1
왜난재미없지? 내가이상한가  ,1
불륜 동성애를 웃음으로 만드는 막장 영화 남자들 의리인척 불륜 감싸는것도 웃김  ,1
관람객와... 개 재밌네ㅋㅋㅋ 또 봐야지~ 핵꿀잼!!!! 드뎌 한국영화 하나 터졌다....  ,10
눈치 싸움 영화라고 해도 과언이 아님 ㅋㅋ 스릴감 좋으네요 ㅋㅋ 그냥 볼만합니다. 한번 씩은 보세요  ,8
본 영화 중 가장 불쾌한 영화. 이런 영화가 평점이 높다는게 신기하고 충격적이다  ,1
1점도 아깝다. 이걸 코미디라고 찍었는가? 끔찍한 인간들을 비밀의 삶도 있다 하며 합리화 하고 여적여 구도를 만들질 않나 아내에게 행하는 가정폭력이 보는 내내 너무나 끔찍했다. 시대흐름을 정말 못 읽는 감독이다. 돈과 시간이 너무나 아깝다.  ,1
이거 보지말고 보헤미안 봐라 아씨...훨씬  돈값한다  ,2
내용이 이게 뭐람 서로의 비밀을 드러내며 유쾌한척 하기는 하는데 농담도 저급하고 상스러움 결국 뭐 여자는 천박하고 남자는 바람펴도 괜찮은 그런 느낌으로 유쾌한척 하는듯(그리고 부인은 왜 계속 존댓말함? + 남자들은 친구들 사이에도 서열이 있나보지?ㅋ  ,1
최악 대사도 저렴함불륜 성희롱 외모비하 동성애비하 최악인것들은 다 갖춤 아직도 시대의 흐름을 못읽는 최악의 영화  ,1
최고의 배우들과 최고의 연기!!!! 우리나라에서 쉽게 접하지 못했던 영화였어요~내 모든것을 공유하는 핸드폰!! 요게 참 무서운 놈으라는 생각을 다시한번 했어요 ㅎㅎㅎ두번 세번 봐도 아깝지 않은영화!!!특히 조진웅씨 연기 사랑합니다  ,10
끝나고 박수치고싶었음 마무리까지 완벽함 정말로  ,10
아저씨들이 좋아할 것 같은 영화..  ,2
관람객유해진씨 연기는 역시나 실망시키지 않네요~ 각 배우마다 개성있게 연기를 너무 잘하셔서 몰입이 너무 잘되었어용 짱짱  ,8
웃기지도 철학적이지도 않은 그저 기분나쁜 영화.  ,1
관람객완벽한 웃음과 긴장 !! 이런 영화 너무나 기다려왔습니다!!  ,10
소재는 신선했으나 우리나라의 선비 문화는역시...  ,1
별한개도 아까워요. 보고나면 기분나빠  ,1
완전 노잼...불쾌한 영화였다.  ,1
관람객남일 아니면 웃기다. 영화의 끝에 오는 웃을수 없는 기분은 내 일이라면 나도 웃지 못하기 때문이겠지  ,10
"보는내내 불편,,, 뭐가 재밌는지 1도 모르겠다 믿거,,,  ",1
이 영화의 내용이 재미있다고 생각하나요?요즘 안그래도 남녀불신이 심각한데 관람 중간 더럽다는 생각에 보다가 나왔네요  ,1
이걸 영화라고 만들었네  ,1
기분 더러워지는 영화 돈 아깝다  ,1
움 내가 본거에 비해 평이 엄청 높네 알반가 ㅋ  ,2
이런 내용의 영화를 웃으면서 봤다는건가;한국 사람들의 인식이 얼마나 낮은지 제대로 알게 해주네진심으로 이거 보면서 아무 생각 없이 웃은 사람은 제발 개념을 뽀개서 다시 만드시길; 무서운 세상이네  ,1
동성애 혐오에 대해 비판하고 싶었으면 커밍아웃과 게이를 웃음코드로 쓰면 안됐고 여자 가슴수술 내용이 이 영화 3분의 1은 되는 거 같네요 여자남자 나누면서 서로 욕하는 내용은 개그인지 작가 사상인건지도 모르겠고 불쾌하고 찝찝한 영화ㅠㅠ  ,1
관람객캐릭터 중 이서진캐릭터가 제일쓰레김  ,8
휴 1점도 아깝다....  ,1
"어디서 웃어야할지,  이게 웃으라고 넣은 내용인지 이상한것들이 많았다. 보던중 뛰쳐나올꺼 꾹 참고봤다 그만큼 불편했다  ",1
진심 속았다... 내 인생 2번째로 최악의 영화...  ,1
